ciclo,ccaa,prov,nvivi,nivel,npers,edad5,relpp1,sexo1,ncony,npadre,nmadre,rellmili,eciv1,prona1,regna1,nac1,exregna1,anore1,nforma2,rellb,edadest,cursr,ncursr2,cursnr,ncurnr2,hcurnr,rellb,trarem,ayudfa,ausent,rznotb,vincul,nuevem,ocup1,act11,situ,sp,ducon1,ducon2,ducon3,tcontm,tcontd,dren,dcom,proest,regest,parco1,parco2,horasp,horash,horase,extra,extpag,extnpg,rzdifh,traplu,ocuplu1,actplu11,sitplu,horplu,mashor,dismas,rzndish,hordes,busotr,busca,desea,fobact,nbusca,asala,embus,itbu,disp,rzndis,empant,dtant,ocupa,acta1,situa,ofemp,sidi1,sidi2,sidi3,sidac1,sidac2,mun1,prore1,repaire1,traant,aoi,cse,factorel,factorel
178,1,18,20664,1,1,55,1,1,2,0,0,,2,18,,1,,,SU,,41,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,3,,,,6,3,1,108,,,,3,5,,,,,1,,,6,9,,22465,
178,1,18,20664,1,2,55,2,6,1,0,0,,2,18,,1,,,S1,,14,3,,3,,,,6,6,1,4,1,,9,5,8,,1,1,,,,97,468,18,,1,,3000,3000,0,6,,,,6,,,,,1,1,,40,6,,,,,,,,,,,,,,,3,3,,,1,1,1,,,1,3,17,22465,
178,1,18,20664,1,3,30,3,6,0,1,2,,1,18,,1,,,SU,,23,1,SP,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,5,7,1,,1,80,,,,2,1,,,2,2,1,,,6,6,,22465,
178,1,18,20664,1,4,25,3,1,0,1,2,,1,18,,1,,,SP,,26,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,5,7,1,,1,126,,,,2,,,,2,2,1,,,6,6,,22465,
178,1,18,20665,1,1,50,1,1,2,0,0,,2,18,,1,,,SU,,18,3,,3,,,,1,,,,,,2,7,8,,6,,6,0,,2,2,18,,6,5,2000,2000,2000,6,,,,6,,,,,1,1,,40,6,,,,,,,,,,,,,,,3,3,,,1,1,1,,,1,3,11,16815,
178,1,18,20665,1,2,45,2,6,1,0,0,,2,18,,1,,,SP,,17,3,,3,,,,1,,,,,,9,8,8,,1,1,,,,86,86,18,,1,,4000,4000,4000,6,,,,6,,,,,3,,,,6,,,,,,,,,,,,,,,3,3,,,1,1,1,,,1,4,14,16815,
178,1,18,20665,1,3,16,3,6,0,1,2,,1,18,,1,,,S1,,17,1,SP,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,6,,,,1,,1,5,5,9,8,3,1,3,,,,1,,,1,9,,16815,
178,1,18,20665,1,4,16,3,1,0,1,2,,1,18,,1,,,P2,,12,1,SP,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,6,,,,6,1,6,,,,,3,1,3,,,,1,,,6,9,,16815,
178,1,18,20666,1,1,60,1,1,2,0,0,,2,18,,1,,,S1,,51,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,5,6,1,,1,33,,,,1,3,,,2,2,1,,,6,6,,17861,
178,1,18,20666,1,2,55,2,6,1,0,0,,2,18,,1,,,S1,,16,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,3,,,,6,3,1,159,,,,3,4,5,,,,1,,,6,9,,17861,
